Price,Income,Distance,Shirota,Fed,Population
19.61,7753.125,440,56,pfo,3159
19.63,3868,440,56,pfo,3159
19.63,6267.7,440,56,pfo,3159
19.64,5075.016667,440,56,pfo,3159
19.64,6135.55,440,56,pfo,3159
19.64,8858.475,440,56,pfo,3159
19.65,8960.841667,440,56,pfo,3159
19.66,3174.8,440,56,pfo,3159
19.68,6313.55,440,56,pfo,3159
19.68,6513.866667,440,56,pfo,3159
19.69,10119.475,440,56,pfo,3159
19.69,3118.566667,440,56,pfo,3159
19.7,9389.375,440,56,pfo,3159
19.71,7267.183333,440,56,pfo,3159
19.71,9226.925,440,56,pfo,3159
19.71,10009.55,440,56,pfo,3159
19.72,8701.391667,440,56,pfo,3159
19.72,5818.966667,440,56,pfo,3159
19.73,6735.2,440,56,pfo,3159
19.74,5145.2,440,56,pfo,3159
19.74,6170.241667,440,56,pfo,3159
19.76,8476.75,440,56,pfo,3159
19.76,3934.2,440,56,pfo,3159
19.77,3604.55,440,56,pfo,3159
19.79,6624.533333,440,56,pfo,3159
19.82,3699.25,440,56,pfo,3159
19.83,4605.716667,440,56,pfo,3159
19.83,5436.9,440,56,pfo,3159
19.83,3754.891667,440,56,pfo,3159
19.84,11468.6,440,56,pfo,3159
19.84,7219.65,440,56,pfo,3159
19.84,7568.9,440,56,pfo,3159
19.85,5014.033333,440,56,pfo,3159
19.86,9286.35,440,56,pfo,3159
19.86,5917.716667,440,56,pfo,3159
19.88,5542.616667,440,56,pfo,3159
19.91,9190.783333,440,56,pfo,3159
19.92,5713.058333,440,56,pfo,3159
19.92,4996.8,440,56,pfo,3159
19.92,7234.3,440,56,pfo,3159
19.92,6026.633333,440,56,pfo,3159
19.94,7365.275,440,56,pfo,3159
19.97,5754.05,440,56,pfo,3159
19.99,7613.35,440,56,pfo,3159
20,2949.866667,9170,43,dfo,1828
20.02,5119.75,440,56,pfo,3159
20.02,3643.608333,820,55,pfo,3902
20.03,5607.15,820,55,pfo,3902
20.04,4169,820,55,pfo,3902
20.05,7383.9,820,55,pfo,3902
20.06,7052.033333,820,55,pfo,3902
20.06,8737,820,55,pfo,3902
20.07,7084.7,820,55,pfo,3902
20.07,7510.9,820,55,pfo,3902
20.08,7433.55,820,55,pfo,3902
20.09,10565.80833,440,56,pfo,3159
20.09,7371.166667,820,55,pfo,3902
